CMDLINE d:\code\formation_oc_python_v2\project_7\.env\scripts\python.exe dynamic_prog.py
MEM 2.035156 1639071330.0729
MEM 3.425781 1639071330.1739
MEM 3.425781 1639071330.2749
MEM 3.425781 1639071330.3749
MEM 3.425781 1639071330.4769
MEM 3.425781 1639071330.5769
MEM 3.425781 1639071330.6779
MEM 3.425781 1639071330.7789
MEM 3.425781 1639071330.8809
MEM 3.425781 1639071330.9819
MEM 3.425781 1639071331.0829
MEM 3.425781 1639071331.1849
MEM 3.425781 1639071331.2859
MEM 3.425781 1639071331.3869
MEM 3.425781 1639071331.4879
MEM 3.425781 1639071331.5889
MEM 3.425781 1639071331.6909
MEM 3.425781 1639071331.7919
MEM 3.425781 1639071331.8919
MEM 3.425781 1639071331.9939
