CMDLINE d:\code\formation_oc_python_v2\project_7\.env\scripts\python.exe bruteforce.py
MEM 1.785156 1639071592.8052
MEM 3.449219 1639071592.9062
MEM 3.449219 1639071593.0082
MEM 3.449219 1639071593.1082
MEM 3.449219 1639071593.2092
MEM 3.449219 1639071593.3102
MEM 3.449219 1639071593.4112
MEM 3.449219 1639071593.5112
MEM 3.449219 1639071593.6132
MEM 3.449219 1639071593.7132
MEM 3.449219 1639071593.8152
MEM 3.449219 1639071593.9162
MEM 3.449219 1639071594.0162
MEM 3.449219 1639071594.1172
MEM 3.449219 1639071594.2182
MEM 3.449219 1639071594.3192
MEM 3.449219 1639071594.4202
MEM 3.449219 1639071594.5212
MEM 3.449219 1639071594.6222
MEM 3.449219 1639071594.7222
MEM 3.449219 1639071594.8222
MEM 3.449219 1639071594.9232
MEM 3.449219 1639071595.0232
MEM 3.449219 1639071595.1242
MEM 3.449219 1639071595.2242
MEM 3.449219 1639071595.3252
MEM 3.449219 1639071595.4272
MEM 3.449219 1639071595.5282
MEM 3.449219 1639071595.6292
MEM 3.449219 1639071595.7302
MEM 3.449219 1639071595.8312
MEM 3.449219 1639071595.9312
MEM 3.449219 1639071596.0322
MEM 3.449219 1639071596.1342
MEM 3.449219 1639071596.2352
MEM 3.449219 1639071596.3362
MEM 3.449219 1639071596.4362
MEM 3.449219 1639071596.5372
MEM 3.449219 1639071596.6382
MEM 3.449219 1639071596.7392
MEM 3.449219 1639071596.8402
MEM 3.449219 1639071596.9412
MEM 3.449219 1639071597.0422
MEM 3.449219 1639071597.1432
MEM 3.449219 1639071597.2452
MEM 3.449219 1639071597.3762
MEM 3.449219 1639071597.4772
MEM 3.449219 1639071597.5782
MEM 3.449219 1639071597.6782
MEM 3.449219 1639071597.7792
MEM 3.449219 1639071597.8802
MEM 3.449219 1639071597.9812
MEM 3.449219 1639071598.0832
MEM 3.449219 1639071598.1842
MEM 3.449219 1639071598.2842
MEM 3.449219 1639071598.3852
MEM 3.449219 1639071598.4862
MEM 3.449219 1639071598.5872
MEM 3.449219 1639071598.6882
MEM 3.449219 1639071598.7902
MEM 3.449219 1639071598.8922
MEM 3.449219 1639071598.9922
MEM 3.449219 1639071599.0922
